기간	지역	유치원	유치원	유치원	초등학교	초등학교	초등학교	중학교	중학교	중학교	고등학교	고등학교	고등학교
기간	지역	원아수	학급현황	학급현황	학생수	학급현황	학급현황	학생수	학급현황	학급현황	학생수	학급현황	학급현황
기간	지역	원아수	학급수	학급당원아수	학생수	학급수	학급당학생수	학생수	학급수	학급당학생수	학생수	학급수	학급당학생수
2017	마포구	2,975	145	20.5	15,850	700	22.6	7,959	309	25.8	6,908	229	30.2
2017	양천구	4,972	256	19.4	24,526	1,029	23.8	17,123	632	27.1	16,092	519	31
2017	강서구	6,084	297	20.5	26,594	1,180	22.5	11,713	459	25.5	18,907	682	27.7
2017	구로구	3,271	153	21.4	18,965	821	23.1	8,462	340	24.9	11,135	386	28.8
2017	금천구	1,767	96	18.4	9,030	446	20.2	4,638	199	23.3	5,102	191	26.7
2017	영등포구	3,883	180	21.6	13,905	675	20.6	6,526	266	24.5	7,371	274	26.9
2017	동작구	3,620	184	19.7	16,698	682	24.5	8,477	323	26.2	7,187	251	28.6
2017	관악구	4,147	207	20	16,227	724	22.4	8,143	324	25.1	11,162	432	25.8
2017	서초구	3,122	140	22.3	22,939	866	26.5	11,822	428	27.6	12,497	403	31
2017	강남구	4,156	184	22.6	24,371	970	25.1	15,574	563	27.7	23,019	742	31
2017	송파구	6,261	279	22.4	31,191	1,313	23.8	17,328	668	25.9	19,018	652	29.2
2017	강동구	4,506	207	21.8	20,161	900	22.4	10,442	429	24.3	13,102	472	27.8
